ID,peak_hour,average_energy,Class
MAC000079,22.5000,42.2300,5
MAC000085,20.5000,31.2400,0
MAC000139,8.0000,22.5500,4
MAC000311,8.5000,19.0900,4
MAC000888,20.0000,18.5600,2
MAC000983,15.0000,23.7700,2
MAC001000,21.5000,8.9500,6
MAC001157,23.0000,9.5400,6
MAC001502,19.0000,30.6700,0
MAC001518,20.0000,9.8700,6
MAC001552,17.0000,5.4700,6
MAC001561,18.5000,21.3900,2
MAC001580,19.5000,19.2800,2
MAC001584,17.5000,7.2100,6
MAC001642,18.0000,27.2400,0
MAC001735,18.0000,49.6300,5
MAC002083,0.0000,13.1000,1
MAC002166,19.5000,24.6700,2
MAC002190,8.0000,21.9500,4
MAC002230,20.0000,5.5400,6
MAC002243,8.0000,18.1400,4
MAC002428,20.5000,13.4700,3
MAC002458,18.0000,14.2300,3
MAC002505,20.5000,15.3000,3
MAC002649,21.0000,25.7800,2
MAC002946,13.5000,3.2500,6
MAC002965,23.5000,13.2100,3
MAC002978,18.5000,4.1900,6
MAC003146,7.5000,7.1300,1
MAC004091,19.0000,19.1100,2
MAC004218,10.0000,16.0100,4
MAC004263,22.5000,13.4100,3
MAC004434,18.0000,18.3200,2
MAC004475,20.5000,8.4200,6
MAC004611,21.0000,46.5800,5
MAC004647,7.0000,11.5300,1
MAC004843,18.5000,23.2100,2
MAC004887,21.5000,7.1100,6
MAC004888,21.0000,29.5700,0
MAC004927,20.0000,8.6600,6
MAC004928,19.0000,15.3400,3
MAC004945,18.5000,11.1800,3
MAC004948,6.5000,4.2700,1
MAC004949,16.5000,31.8000,0
MAC004953,7.0000,11.2000,1
MAC004968,20.0000,6.5300,6
MAC005003,22.5000,5.9500,6
MAC005154,9.5000,35.8800,0
MAC005351,18.5000,5.8100,6
MAC005453,7.5000,3.8600,1
