ID,peak_hour,average_energy,Class
MAC000118,19.5000,7.0700,1
MAC000225,17.5000,8.7600,1
MAC000260,20.5000,7.8900,1
MAC001036,8.0000,37.5400,2
MAC001071,17.5000,8.5700,1
MAC001354,18.5000,21.3300,3
MAC001393,9.0000,13.4600,0
MAC001396,20.5000,2.5100,1
MAC002461,8.0000,5.3400,4
MAC002574,18.5000,8.7500,1
MAC002667,17.5000,13.8200,3
MAC002759,20.5000,15.3500,3
MAC003042,16.0000,10.8500,3
MAC003092,19.5000,13.7200,3
MAC003169,7.5000,3.7800,4
MAC003174,20.0000,18.6400,3
MAC003187,6.0000,8.8200,4
MAC003228,17.0000,16.5100,3
MAC003230,19.5000,17.4500,3
MAC003234,18.0000,6.7700,1
MAC003244,7.0000,9.3200,4
MAC003255,0.0000,19.0300,0
MAC003266,20.5000,5.1900,1
MAC003274,18.5000,10.8200,3
MAC003276,16.5000,27.2200,2
MAC003295,18.5000,12.5600,3
MAC003333,18.0000,12.9400,3
MAC003409,23.5000,3.3600,1
MAC003414,17.5000,10.7000,3
MAC003419,8.5000,23.3500,0
MAC003480,21.0000,3.6500,1
MAC003483,18.5000,11.5700,3
MAC003531,23.0000,4.2500,1
MAC003534,20.0000,16.1100,3
MAC003617,21.5000,4.1200,1
MAC003663,0.0000,8.0200,4
MAC003677,9.0000,8.5500,4
MAC003695,0.0000,2.4200,4
MAC003713,8.0000,15.8700,0
MAC003771,19.5000,5.9500,1
MAC003827,19.0000,4.4500,1
MAC004874,17.5000,10.2100,3
MAC004905,18.5000,6.0000,1
MAC004970,3.0000,30.8500,2
MAC004978,10.5000,15.9800,0
MAC005012,0.5000,1.4900,4
MAC005084,18.0000,6.2500,1
MAC005090,19.0000,12.0000,3
MAC005100,12.5000,11.8300,3
MAC005430,21.0000,11.8100,3
